date,sales,profit
2017-02-07,457,7793.220209158095
2017-08-24,367,3655.7247439942694
2017-03-14,713,2988.901804923962
2017-09-13,713,2065.335362602981
2017-07-23,1036,9020.39305888498
2017-05-14,272,9983.419422667355
2017-12-02,802,3554.682354488022
2017-05-25,640,7505.381683180097
2017-05-10,496,2791.278177803957
2017-03-13,975,5082.499191066654
2017-08-26,474,9993.568430546511
2017-10-09,737,6856.237709859096
2017-06-28,167,1320.8056204261097
2017-10-04,827,3124.2715963894734
2017-09-12,309,7950.8659433647845
2017-09-10,804,9659.612467428671
2017-06-06,697,7057.123796987834
2017-02-20,343,5926.995479373391
2017-03-10,595,6384.746218749162
2017-08-04,939,9055.528485630432
2017-08-30,1088,4934.341008680834
2017-12-19,969,7914.3430357286
2017-03-28,200,2862.1439327164676
2017-05-22,980,3359.80262876203
2017-01-08,911,6926.439947802763
2017-11-16,857,3971.7361352895246
2017-11-14,259,6726.491964475744
2017-01-23,880,9973.267965201067
2017-11-10,798,9669.133816540667
2017-01-02,552,6944.121383337912
2017-11-13,879,8715.696225149542
2017-07-29,807,4560.2608469537645
2017-09-22,125,4029.9343984628094
2017-08-05,964,6575.099961464948
2017-05-22,641,4271.572487450443
2017-04-26,724,1504.0561476691714
2017-05-02,911,6308.263371870677
2017-01-31,1083,8810.989790156182
2017-03-13,845,9787.578269868267
2017-02-19,467,6557.4373308440545
2017-11-10,836,6098.742271434756
2017-01-04,746,8063.26028113156
2017-10-08,801,7292.199389527363
2017-02-13,230,6343.66867625954
2017-03-18,541,3459.3405278024143
2017-01-27,756,3789.780738530422
2017-11-05,950,2412.555062145806
2017-12-03,874,3074.8450562724684
2017-04-20,680,6031.307999857877
2017-10-25,792,9202.497354000803
2017-01-16,549,8543.674705494515
2017-03-06,198,1834.0524498526072
2017-07-16,644,4627.263411134326
2017-01-26,254,1259.38944352964
2017-08-15,406,3470.6729753120394
2017-10-10,486,2912.918583417286
2017-06-03,475,1419.7809404236882
2017-04-15,639,8407.693495328993
2017-01-23,230,8035.87062739223
2017-09-23,443,5672.416648352048
2017-07-15,753,9809.981730118365
2017-05-07,500,1385.1810985183238
2017-10-07,377,2742.234740954032
2017-12-23,153,9559.145275213643
2017-06-05,1031,6709.141664620949
2017-11-10,307,6587.371794081255
2017-03-25,1001,2271.1215612508727
2017-06-16,690,9272.87689637227
2017-05-17,624,8850.893625172215
2017-10-16,606,2792.55730725746
2017-09-24,535,1692.2598224972783
2017-10-07,700,6259.827426734478
2017-05-24,296,9470.737051786076
2017-08-28,744,4598.330209413632
2017-03-29,1078,8120.17926682561
2017-10-09,980,6647.291682003903
2017-09-01,1066,9615.467373765838
2017-12-15,578,8296.56628185418
2017-03-16,283,6071.599321442664
2017-07-10,420,7554.340104008511
2017-10-30,1006,5981.718536428885
2017-08-05,637,3996.9405409493297
2017-06-01,870,7125.699407852915
2017-07-03,364,9927.509696440755
2017-11-18,921,9097.050004723336
2017-11-30,913,7039.661126335468
2017-09-17,663,4570.007556700808
2017-09-11,1038,1547.2784393625388
2017-09-20,293,4762.642716067275
2017-02-22,659,2977.113726569174
2017-01-03,842,7985.898844935504
2017-03-18,1088,9321.45976033634
2017-05-30,248,6374.814418985712
2017-07-23,986,2308.1797056275045
2017-09-21,298,8261.97982078883
2017-03-19,547,5312.885166693757
2017-07-20,569,5842.937940193104
2017-03-17,708,3226.0452097472225
2017-11-29,395,9248.890069794188
2017-02-13,331,8116.065670636348
2017-01-21,470,5405.295158803653
2017-01-31,143,8864.614646513674
2017-02-06,263,7863.261339688761
2017-09-21,130,3000.7778561148766
2017-10-29,1073,2938.1607116923087
2017-02-27,862,8144.611572238451
2017-08-29,689,4267.371524995003
2017-07-30,508,4165.858155508484
2017-04-07,148,5446.845985892614
2017-09-27,616,1545.7818256715364
2017-01-11,192,3020.76954566035
2017-10-07,962,2964.4647151955387
2017-12-04,532,4956.069466231954
2017-06-02,607,7320.102300770195
2017-07-22,756,5172.611644132761
2017-05-29,750,3151.87617524392
2017-05-21,381,5109.221455104203
2017-07-13,488,6894.485452343327
2017-04-05,407,5607.463884873103
2017-03-02,740,7627.722897375931
2017-06-02,1080,5027.726690441556
2017-12-05,948,8782.173074232265
2017-12-20,306,2080.761649132023
2017-05-11,583,6316.0848122681855
2017-08-09,1003,2396.3063257598287
2017-04-14,486,7377.1279450691145
2017-12-21,747,6323.103430501497
2017-09-24,529,2269.7152236313896
2017-07-02,324,9297.531321113984
2017-12-19,651,2123.192279232352
2017-12-05,479,5516.2356181375235
2017-07-18,239,2535.678711149636
2017-07-14,868,9913.1430649839
2017-11-24,295,6546.826459958735
2017-06-26,1007,3818.754692098548
2017-02-24,557,3702.745350915971
2017-01-16,828,3742.8171789414023
2017-06-20,668,5254.239238215046
2017-01-21,947,8396.949955464326
2017-04-29,388,4108.954060180921
2017-10-06,432,4271.42847408165
2017-04-25,1007,3805.4337656440202
2017-04-08,184,5536.707015759674
2017-07-01,664,7292.354245105375
2017-12-07,214,9440.864821809328
2017-01-11,712,3241.3229098044153
2017-04-07,196,3328.3955859136186
2017-07-03,316,3206.0421519976458
2017-11-14,536,8557.809573074566
2017-02-26,515,5275.48959028572
2017-08-06,574,5751.299314702912
2017-08-20,984,9381.320772148114
2017-04-07,129,3221.784002392115
2017-01-26,430,2628.2693156294536
2017-05-22,977,8538.475118388717
2017-08-01,374,9390.80334883351
2017-04-27,1075,6592.057863500303
2017-10-27,185,4859.163106804088
2017-05-15,900,4730.710203281222
2017-07-25,1039,5907.374123601646
2017-07-04,701,6466.92323194474
2017-01-25,529,9995.440660770788
2017-05-18,698,9397.770492064654
2017-07-19,447,4673.991725525759
2017-11-06,856,2236.6416522920454
2017-11-22,551,5261.084311653481
2017-09-06,383,3376.639582471068
2017-01-22,830,3109.3386831198
2017-10-24,485,7324.583965096114
2017-03-19,659,9193.498471673478
2017-08-08,245,3412.1783415519226
2017-06-27,335,5074.082890015803
2017-10-31,965,5487.590255008417
2017-02-15,334,1153.480235989736
2017-12-10,949,2052.480996969819
2017-05-25,1081,6568.4663457576025
2017-08-23,865,7863.236058711761
2017-02-15,725,2594.800702569179
2017-11-19,686,6000.090633521192
2017-10-30,342,7473.583195274087
2017-03-05,881,2228.176664543812
2017-11-28,513,1332.0131779928156
2017-02-05,755,8606.449606328646
2017-02-03,457,5073.483396860904
2017-05-11,240,5727.850416649889
2017-03-25,422,1515.3771789414272
2017-02-18,682,3835.7168271364503
2017-11-07,976,2539.7287142349314
2017-10-16,521,4644.637027599467
2017-09-11,676,7226.382348348257
2017-06-06,881,2120.9107942601895
2017-02-25,126,7332.8363236977475
2017-07-30,753,7001.583087246065
2017-10-15,794,9960.289532010946
2017-01-29,821,1055.3803721328836
2017-08-11,799,6334.13213285516
2017-11-27,1043,8113.515100728126
2017-05-17,850,7455.051385668773
2017-04-20,589,3582.840225418791
2017-04-10,660,8684.376471939493
2017-02-02,107,5969.377433190717
2017-01-09,427,2347.789575858133
2017-03-26,808,4490.761864779424
2017-02-20,190,6257.587364904411
2017-03-21,567,4452.055670416603
2017-06-19,216,5593.584630906357
2017-11-17,255,4746.390634310044
2017-04-19,211,4900.970594546823
2017-07-31,1027,4457.647935652151
2017-01-25,110,9663.85605250728
2017-04-24,959,2059.9259280584374
2017-10-04,188,6105.82180918137
2017-02-14,975,1170.5981651239053
2017-09-29,672,3498.74726638959
2017-06-08,1076,3525.6354153349566
2017-10-03,184,2224.023191097359
2017-09-09,342,1237.2078346734072
2017-06-04,222,4751.423756670667
2017-08-24,820,9866.702747643376
2017-03-28,294,5851.721005118426
2017-08-16,707,5185.876997328273
2017-02-23,147,8923.172439521994
2017-09-01,1067,4267.440737424331
2017-10-18,663,4456.189243598431
2017-04-11,161,7419.499602113945
2017-08-17,1020,2498.457026899325
2017-10-16,226,5109.570310985967
2017-10-08,967,1734.9042690930594
2017-07-31,506,9238.074133654676
2017-08-18,685,7357.213446020805
2017-04-05,646,6642.569671905769
2017-06-16,513,7125.774620511479
2017-06-25,447,8204.632721388523
2017-08-20,915,5060.399970009601
2017-03-21,835,4376.912015736564
2017-03-05,416,1634.1572818747259
2017-03-29,504,3450.642273750714
2017-10-26,347,1076.1648597452365
